,Year of Birth,Gender,Ethnicity
0,2011,FEMALE,HISPANIC
1,2011,FEMALE,HISPANIC
2,2011,FEMALE,HISPANIC
3,2011,FEMALE,HISPANIC
4,2011,FEMALE,HISPANIC
5,2011,FEMALE,HISPANIC
6,2011,FEMALE,HISPANIC
7,2011,FEMALE,HISPANIC
8,2011,FEMALE,HISPANIC
9,2011,FEMALE,HISPANIC
10,2011,FEMALE,HISPANIC
11,2011,FEMALE,HISPANIC
12,2011,FEMALE,HISPANIC
13,2011,FEMALE,HISPANIC
14,2011,FEMALE,HISPANIC
15,2011,FEMALE,HISPANIC
16,2011,FEMALE,HISPANIC
17,2011,FEMALE,HISPANIC
18,2011,FEMALE,HISPANIC
19,2011,FEMALE,HISPANIC
20,2011,FEMALE,HISPANIC
21,2011,FEMALE,HISPANIC
22,2011,FEMALE,HISPANIC
23,2011,FEMALE,HISPANIC
24,2011,FEMALE,HISPANIC
25,2011,FEMALE,HISPANIC
26,2011,FEMALE,HISPANIC
27,2011,FEMALE,HISPANIC
28,2011,FEMALE,HISPANIC
29,2011,FEMALE,HISPANIC
30,2011,FEMALE,HISPANIC
31,2011,FEMALE,HISPANIC
32,2011,FEMALE,HISPANIC
33,2011,FEMALE,HISPANIC
34,2011,FEMALE,HISPANIC
35,2011,FEMALE,HISPANIC
36,2011,FEMALE,HISPANIC
37,2011,FEMALE,HISPANIC
38,2011,FEMALE,HISPANIC
39,2011,FEMALE,HISPANIC
40,2011,FEMALE,HISPANIC
41,2011,FEMALE,HISPANIC
42,2011,FEMALE,HISPANIC
43,2011,FEMALE,HISPANIC
44,2011,FEMALE,HISPANIC
45,2011,FEMALE,HISPANIC
46,2011,FEMALE,HISPANIC
47,2011,FEMALE,HISPANIC
48,2011,FEMALE,HISPANIC
49,2011,FEMALE,HISPANIC
50,2011,FEMALE,HISPANIC
51,2011,FEMALE,HISPANIC
52,2011,FEMALE,HISPANIC
53,2011,FEMALE,HISPANIC
54,2011,FEMALE,HISPANIC
55,2011,FEMALE,HISPANIC
56,2011,FEMALE,HISPANIC
57,2011,FEMALE,HISPANIC
58,2011,FEMALE,HISPANIC
59,2011,FEMALE,HISPANIC
60,2011,FEMALE,HISPANIC
61,2011,FEMALE,HISPANIC
62,2011,FEMALE,HISPANIC
63,2011,FEMALE,HISPANIC
64,2011,FEMALE,HISPANIC
65,2011,FEMALE,HISPANIC
66,2011,FEMALE,HISPANIC
67,2011,FEMALE,HISPANIC
68,2011,FEMALE,HISPANIC
69,2011,FEMALE,HISPANIC
70,2011,FEMALE,HISPANIC
71,2011,FEMALE,HISPANIC
72,2011,FEMALE,HISPANIC
73,2011,FEMALE,HISPANIC
74,2011,FEMALE,HISPANIC
75,2011,FEMALE,HISPANIC
76,2011,FEMALE,HISPANIC
77,2011,FEMALE,HISPANIC
78,2011,FEMALE,HISPANIC
79,2011,FEMALE,HISPANIC
80,2011,FEMALE,HISPANIC
81,2011,FEMALE,HISPANIC
82,2011,FEMALE,HISPANIC
83,2011,FEMALE,HISPANIC
